"125-2";"W1A3";"2019-12-18 14:40:30";"2019-12-18 14:41:38";"25";"noseusa";"100";"0";"0";"0";"0";"0";"0";"0";"0";"25";"0";"25";"0";" ";"0";"0";"0";"1"
"125-2";"W2A3";"2019-12-18 14:48:17";"2019-12-18 14:49:25";"25";"noseusa";"100";"0";"0";"0";"0";"0";"0";"0";"0";"25";"0";"25";"0";" ";"0";"0";"0";"1"
"125-2";"W3A3";"2019-12-18 14:59:23";"2019-12-18 15:00:32";"25";"noseusa";"100";"0";"0";"0";"0";"0";"0";"0";"0";"25";"0";"25";"0";" ";"0";"0";"0";"1"
"125-2";"W4A3";"2019-12-18 15:04:51";"2019-12-18 15:06:58";"25";"noseusa";"100";"0";"0";"0";"0";"0";"0";"0";"0";"25";"0";"25";"0";" ";"0";"0";"0";"1"
"125-2";"W5A3";"2019-12-18 15:20:38";"2019-12-18 15:32:53";"25";"noseusa";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"0";" ";"0";"25";"0";"1"
"125-2";"W6A3";"2019-12-18 16:20:16";"2019-12-18 16:21:14";"25";"noseusa";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"25";"0";" ";"0";"0";"0";"1"
"125-2";"Y1A3";"2019-12-18 15:09:08";"2019-12-18 15:10:33";"25";"noseusa";"100";"0";"0";"0";"0";"0";"0";"0";"0";"25";"0";"25";"0";" ";"0";"0";"0";"1"
"125-2";"Y2A3";"2019-12-18 15:01:56";"2019-12-18 15:03:02";"25";"noseusa";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"0";" ";"0";"25";"0";"1"
"125-2";"Y3A3";"2019-12-18 14:55:47";"2019-12-18 14:56:50";"25";"noseusa";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"0";" ";"0";"0";"25";"1"
"125-2";"Y4A3";"2019-12-18 14:53:04";"2019-12-18 14:54:16";"25";"noseusa";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"0";" ";"25";"0";"0";"1"
